Date,Hour,ActualDemand,AdequacyForecast,CalculatedForecast,AbsDiff,PctDiff
2026-05-03,1,3.67853e-312,12949,14054.5,1105.53,8.53757
2026-05-03,2,3.67853e-312,12680,13837.5,1157.48,9.12843
2026-05-03,3,3.67853e-312,12527,14070.5,1543.49,12.3213
2026-05-03,4,3.67853e-312,12501,14578.9,2077.91,16.6219
2026-05-03,5,3.67853e-312,12605,15657.6,3052.63,24.2176
2026-05-03,6,3.67853e-312,12708,16964.5,4256.52,33.4948
2026-05-03,7,3.67853e-312,13096,17416.5,4320.54,32.9913
2026-05-03,8,3.67853e-312,13668,17211.8,3543.85,25.9281
2026-05-03,9,3.67853e-312,14184,16736.2,2552.21,17.9936
2026-05-03,10,3.67853e-312,14396,16449.8,2053.77,14.2663
2026-05-03,11,3.67853e-312,14417,16456.6,2039.62,14.1473
2026-05-03,12,3.67853e-312,14301,16802.3,2501.31,17.4904
2026-05-03,13,3.67853e-312,14161,16464.2,2303.24,16.2647
2026-05-03,14,3.67853e-312,14028,16924.1,2896.09,20.6451
2026-05-03,15,3.67853e-312,14251,17530.5,3279.51,23.0125
2026-05-03,16,3.67853e-312,14827,18009,3182.03,21.461
2026-05-03,17,3.67853e-312,15268,17828.3,2560.33,16.7692
2026-05-03,18,3.67853e-312,15330,17895.2,2565.19,16.7332
2026-05-03,19,3.67853e-312,15258,17827.7,2569.66,16.8414
2026-05-03,20,3.67853e-312,15535,17088.1,1553.09,9.99734
2026-05-03,21,3.67853e-312,15412,16343.1,931.054,6.0411
2026-05-03,22,3.67853e-312,14755,15561.9,806.937,5.4689
2026-05-03,23,3.67853e-312,13912,14957.5,1045.48,7.51493
2026-05-03,24,3.67853e-312,13279,14696.5,1417.51,10.6748
